img_index,person,bicycle,car,motorcycle,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,microwave,oven,toaster,sink,refrigerator
198,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1
199,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1
200,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1
201,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
202,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
203,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1
204,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0
205,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
206,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
207,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
208,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
209,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1
210,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
211,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1
212,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1
213,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
214,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1
215,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
216,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
217,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
218,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1
219,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
220,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1
221,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1
222,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
223,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
224,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
225,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
226,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1
227,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
228,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
229,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1
230,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1
231,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
232,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
233,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
234,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
235,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1
236,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
237,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
238,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
239,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
240,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
241,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
242,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
243,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0
